label,text
ham,"El tipo se quejó un poco, pero actué como si estuviera interesado en comprar algo más la próxima semana y nos lo dio gratis."
ham,Rofl. Es fiel a su nombre.
ham,Ni siquiera a mi hermano le gusta hablar conmigo. Me tratan como si fuera una patente de sida.
ham,"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos"
spam,"¡¡GANADOR!! Como valioso cliente de la red, ha sido seleccionado para recibir un premio de 9,000. Para reclamar llame al 09061701461. Código de reclamo KL341. Válido sólo 12 horas."
spam,¿Tenías tu móvil 11 meses o más? ¡tiene derecho a actualizar a los últimos móviles en color con cámara gratis! Llame GRATIS a Movistar o al 08002986030
ham,"Estaré en casa pronto y no quiero hablar más de estas cosas esta noche, ¿vale? Ya he llorado bastante hoy."
spam,¡SEIS oportunidades de ganar EFECTIVO! De 100 a 20 000 dolares>
spam,¡URGENTE! ¡Has ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de $ 100 000! Envíe un mensaje de texto con la palabra: RECLAMACIÓN al número: 81010
ham,He estado buscando las palabras adecuadas para agradecerte por este respiro. Prometo que no daré por sentada tu ayuda y cumpliré mi promesa. Has sido maravilloso y de bendición en todo momento.
ham,¡¡TENGO UNA CITA EL DOMINGO CON WILL!!
spam,"XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP"
ham,Oh k... estoy mirando aquí :)
ham,"Eh, ¿recuerdas cómo se deletrea su nombre? Sí, lo hice. Es travieso hasta que se moja."
ham,Bien si esa es la forma en que te sientes. Así es como se consigue
spam,Chivas vs América: no te pierdas los goles y las noticias del equipo. Envíe un mensaje de texto con su equipo nacional al 87077
ham,¿En serio se escribe así su nombre?
ham,Voy a intentarlo durante 2 meses jaja solo bromeo
ham,"Entonces, pago primero lar... Luego, ¿cuándo saldrán las acciones?"
ham,Después de terminar mi almuerzo me voy a Plaza Forum. ¿Ya terminaste tu almuerzo?
ham,"Fffffffff. ¿Está bien, no hay manera de que pueda reunirme contigo antes?"
ham,Me obligué a comer un trozo. Aunque realmente no tengo hambre. Esto apesta. Mark se está preocupando. Él sabe que estoy enfermo cuando rechazo la pizza. Jajaja
ham,"Jajaja, siempre eres tan convincente."
ham,¿Cogiste el autobús? ¿Estás friendo un huevo? ¿Hiciste un té? ¿Estás comiendo lo que te sobró de la cena de tu mamá? Sientes mi amor ?
ham,"Estoy de vuelta & Estamos empacando el auto ahora, te avisaré si hay espacio"
ham,Ahhh. Trabajar. ¡Lo recuerdo vagamente! ¿Cómo se siente? Jajaja
ham,"Espera, eso todavía no está tan claro, ¿no estabas seguro de que fui sarcástico o que por eso x no quiere vivir con nosotros?"
ham,"Sí, entró a las 2 y se disculpó mucho. n se había peleado y ella estaba actuando como una niña mimada y él quedó atrapado en eso. ¡Hasta las 2! ¡Pero no iremos allí! No lo estoy haciendo tan mal, saludos. ¿Tú?"
ham,K cuéntame cualquier cosa sobre ti.
ham,¿Por miedo a desmayarte con el peso de todas esas tareas del hogar que acabas de hacer? Rápido toma una taza
spam,"Gracias por su suscripción a Ringtone UK, se le cobrará a su teléfono móvil £ 5 al mes. Confirme respondiendo SÍ o NO. Si responde NO no se le cobrará"
ham,"Sí... Ok, me voy a casa, miro los horarios y luego envío un mensaje Ì_ otra vez... Xuhui también aprenderá el 2 de mayo, pero su lección es a las 8 a.m."
ham,"Ups, te avisaré cuando mi compañero de cuarto haya terminado."
ham,Veo la letra B en mi auto
ham,Cualquier cosa... tú decides...
ham,¡Hola! ¿Cómo estás y cómo te fue el sábado? Solo te estaba enviando un mensaje de texto para ver si habías decidido hacer algo también. ¡No es que esté intentando invitarme ni nada por el estilo!
ham,Por favor continúe con los vatios. Sólo quería estar seguro. Que tengas un gran fin de semana. abiola
ham,"¿Se me olvidó decírtelo? Te quiero, te necesito, te anhelo... Pero sobre todo... Te amo mi dulce corcel árabe... Mmmmmm... Delicioso"
spam,07732584351 - Rodger Burns - MSG = Intentamos llamarlo para responder a nuestro SMS y solicitar un móvil Iphone + una videocámara gratis. Por favor llame ahora al 08000930705 para la entrega mañana.
ham,¿A QUIÉN ESTAS VIENDO?
ham,¡Excelente! Espero que te guste tu hombre bien dotado. Soy <#> pulgadas...
ham,No hay llamadas...mensajes...llamadas perdidas
ham,¿No te vacunaron contra la hepatitis B en Nigeria?
ham,"Muy bien, ¿pasa algo?"
ham,"Sí, con suerte, si Tyler no puede hacerlo, tal vez podría preguntar un poco por ahí."
ham,No sabes lo testaruda que soy. Ni siquiera quería ir al hospital. Seguí diciéndole a Mark que no soy un tonto débil. Los hospitales son para tontos débiles.
ham,Lo que pensaste de mí. Primera vez que me viste en clase.
ham,"Un gramo normalmente se ejecuta como <#> , aunque un medio octavo es más inteligente y te proporciona casi un segundo gramo completo por <#>"
ham,"K para tu información x tiene un aventón mañana por la mañana temprano, pero se quedará en nuestra casa esta noche."
ham,"Guau. Nunca me di cuenta de que estuvieras tan avergonzado por tus adaptaciones. Pensé que te gustaba, ya que estaba haciendo lo mejor que podía y tú siempre parecías tan feliz con \la cueva\"". Lamento no haberlo hecho y no tengo más para dar. Lamento haberte ofrecido. . Lamento que tu habitación fuera tan vergonzosa""."
spam,SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o Incorrecto? ¿Fin? Responder FINALIZAR SPTV
ham,¿Sabes lo que hizo Mallika Sherawat ayer? Descúbrelo ahora @ <URL>
spam,¡Felicitaciones! El pase de cine especial de 1 año para 2 es tuyo. llama al 09061209465 ahora!
ham,"Lo siento, te llamaré más tarde en la reunión."
ham,Dime hasta donde llegaste
ham,Sí... gauti y sehwag de la serie odi.
ham,Tendrás que comprar una hamburguesa de $1 para ti de camino a casa. Ni siquiera puedo moverme. El dolor me está matando.
ham,"Ja, ja, buen chiste. Las niñas buscan situaciones."
ham,Es parte de comprobar el coeficiente intelectual.
ham,"Lo siento, mis compañeros de cuarto tardaron una eternidad, ¿te parece si llego ahora?"
ham,"Ok, verifiqué nuevamente si el peluquero ya dijo que lo cortaría muy corto. Dijo que me cortaría hasta que me viera bien."
spam,"Como cliente valioso, me complace informarle que después de una revisión reciente de su número de Mob, recibirá un premio de bonificación de $ 1500.00, llame al 09066364589."
ham,"Hoy es el día dedicado a la canción. ""¿Qué canción me dedicarás? Envía esto a todos tus valiosos amigos, pero primero respondeme..."""
spam,"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 o å£1000. Para reclamar envíe un mensaje de texto DIS al 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"¿Has oído hablar de la nueva \Divorce Barbie\""? ¡Viene con todas las cosas de Ken!"""
ham,Planeo donar a finales de este mes.
ham,"Wah, hombre afortunado... Entonces puedes ahorrar dinero... Je..."
ham,Terminada la clase ¿dónde estás?
ham,"HOLA BEBÉ, ESTOY EN CASA AHORA ¿QUIERES HACER ALGO? "
ham,K..k:) ¿Dónde estás? ¿Cómo te desempeñaste?
ham,Puedes llamarme ahora...
ham,Estoy esperando machan. Llámame una vez que estés libre.
ham,Eso es genial. Soy un caballero y te trataré con dignidad y respeto.
ham,Me gustan mucho ustedes :) pero soy muy tímida pa.
ham,No funciona después de <#> o que
ham,Aquí no es lo mismo. Sigo buscando trabajo. ¿Cuánto ganan los Ta allí?
ham,"Lo siento, llamaré más tarde"
ham,"K. ¿Me llamaste hace un momento, ah?"
ham,Ok estoy de camino a casa hola hola
ham,Estarás en el lugar de ese hombre.
ham,"Sí, próxima parada."
ham,"Te llamo más tarde, no tengo red. Si es urgente, envíame un mensaje de texto."
ham,¿De verdad cuando te estás molestando? Sólo necesito 2 entradas más y una chaqueta más y listo. Ya usé todos mis multis.
ham,"Sí, comencé a enviar solicitudes para hacerlo, pero el dolor volvió, así que estoy de nuevo en la cama. Monedas dobles en la fábrica también. Tengo que cobrar todos mis nitros."
ham,"Realmente no estoy preparado todavía esta noche, nena."
ham,"Ela kano.,il descargar, ven cuando estés gratis.."
ham,"¡Sí, hazlo! ¡No te pares a cerrar aunque atraparás algo!"
ham,Perdon por ser un dolor. ¿Está bien si nos encontramos otra noche? Pasé la tarde en urgencias y eso significa que no he hecho nada de eso42moro y eso incluye todas mis hojas de tiempo y eso. Lo siento.
ham,Sonríe en el placer Sonríe en el dolor Sonríe cuando los problemas llueven a cántaros como la lluvia Sonríe cuando sum1 te duele Sonríe porque ¡¡A ALGUIEN todavía le encanta verte sonriendo!!
spam,"Llame a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10 a. m. y las 9 p. m., ya que HA GANADO un premio garantizado de $ 1000 en efectivo o $ 5000."
ham,No tengo pensado comprar más tarde. Ya verifiqué que solo tuve 530 shows en la tarde. ¿Ya terminaste el trabajo?
spam,"Su tono de llamada gratuito está esperando a ser recogido. Simplemente envíe un mensaje de texto con la contraseña \MIX\"" al 85069 para verificarla. "
ham,Viendo una película en Netflix... ¿qué hay de ti?
ham,veo. Cuando terminemos tenemos un montón de préstamos que pagar.
ham,"Hola. Hemos estado bien, ¡ahora de vacaciones! Sí, a correr un poco. Olvidé que tengo cita con el peluquero a las cuatro, así que necesito llegar a casa y ducharme con anticipación. ¿Eso te causa problemas?\""ham"""
ham,"Por favor, no me envíes más mensajes de texto. No tengo nada más que decir."
ham,"¡Está bien, indica tu precio siempre que sea legal! ¿Puedo recogerlos? Tienes x ams xx"
ham,Todavía estoy buscando un auto para comprar. Y todavía no he pasado el examen de conducir.
ham,"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos"
ham,"Guau. ¡Tienes razón! No quise hacer eso. Supongo que una vez que me di por vencido con los hombres de Boston y cambié mi ubicación de búsqueda a Nueva York, algo cambió. Porque en mi página de inicio de sesión todavía dice Boston."
ham,Umma mi vida y vava umma te amo mucho querida
ham,Muchas gracias por tus deseos en mi cumpleaños. Gracias por hacer que mi cumpleaños sea realmente memorable.
ham,"Bien, te llamaré cuando tenga algo de efectivo."
ham,¿Cómo probaría mi dirección IP que considerando que mi computadora no es un servidor de Minecraft?
ham,"¡Lo sé! Viejos gruñones. Mi mamá decía: ""Será mejor que no mientas"". Por otra parte, siempre soy yo quien hace bromas..."
ham,No te preocupes. Supongo que está ocupado.
ham,¿Cuál es el plural del sustantivo investigación?
ham,Voy a cenar. Msj para después.
ham,Estoy bien porque me gusta probar cosas nuevas. Pero te asusté como a mah. Porque dijiste que no fuera demasiado alto.
spam,¡CABALLERO! Estamos intentando contactar con usted. El sorteo del fin de semana pasado muestra que ganaste un premio de $1000 GARANTIZADO. Llame al 09064012160. Código de reclamo K52. Válido sólo 12 horas. 150 ppm
ham,"Wa, tu frase inicial es muy formal... De todos modos, yo también estoy bien, pero estoy comiendo demasiado y engordando... Jaja... Entonces, ¿pasó algo especial?"
ham,"Cuando entré a mi cabina, mi asistente personal dijo: ""¡¡Feliz cumpleaños, jefe!!"". Me sentí especial. Ella me pidió 4 almuerzos. Después del almuerzo me invitó a su apartamento. Nosotros fuimos allí."
spam,Eres un ganador. Has sido seleccionado especialmente. 2. Recibe $1000 o unas vacaciones de 4* (vuelos incluidos). Habla con un operador en vivo. 2. Reclama 0871277810910p/min (18+).
ham,"¡Bien! Sí, debemos hablar el viernes: ¡se necesita una proporción de huevo y papa para la tortilla!"
ham,Hmm... mi tío me acaba de informar que le pagará directamente a la escuela. Así que por favor compre comida.
spam,¡PRIVADO! Su estado de cuenta de 2004 para 07742676969 muestra 786 puntos de bonificación no canjeados. Para reclamar llamar al 08719180248 Código Identificador: 45239 Caduca
spam,"¡URGENTE! Su número de móvil recibió un premio adicional de $2000 para llamadas el 9 de mayo de 2003. ¡Éste es nuestro último intento de contactarlo! Llamada desde Fijo 09064019788 BOX42WR29C, 150PPM"
ham,"Aquí está mi nueva dirección: manzanas, pares y todas esas tonterías."
spam,"Los números de Voda de hoy que terminan en 7548 son seleccionados para recibir un premio de $350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 4041 aplicación de tarifas estándar"
ham,Voy a Sao Mu hoy. Se hará sólo a las 12
ham,ÌÏ predecir a qué hora Ì_ terminaré de comprar?
ham,"Buen material, servirá."
ham,"Para que lo sepas, Yetunde aún no ha enviado dinero. Le acabo de enviar un mensaje de texto para que no se moleste en enviarlo. Así que se acabó, no tienes que involucrarte en nada. No debería haberte impuesto nada en primer lugar, así que te pido disculpas por eso."
ham,¿Estás ahí en la habitación?
ham,"HEY CHICA. ¿CÓMO ESTÁS? ¡ESPERO QUE ERES BIEN, YO Y DEL R BAK! ¡OTRA VEZ MUCHO TIEMPO NO C! DAME UNA LLAMADA SUM TIME DE LUCYxx"
ham,K..k:) ¿cuánto cuesta?
ham,Estoy en casa.
ham,"Estimado, llamará a Tmorrow.pls para acomodarlo."
ham,Primero responde mi pregunta.
spam,"Sunshine Quiz Semanal Q! ¿Gana un reproductor de DVD Sony de primera categoría si sabes en qué país se encuentra el Algarve? Envíe un mensaje de texto al 82277. £ 1,50 SP: Tyrone"
spam,"Quieres conocer amigos para salir esta noche, unete a nuestra aplicación envia mensaje al 33328348234"
ham,Sólo tengo msn. Es yijue@hotmail.com
ham,El está aquí. llamas y lo conoces
ham,No no. Revisaré todas las habitaciones antes de las actividades.
spam,"No recibirás más mensajes del servicio de chat. Para servicios GRATUITOS, envíe un mensaje de texto a: 69988 Si no obtiene nada, debe verificar la edad con su red e intentarlo nuevamente."
ham,Tengo c... Me da pereza escribir... Se me olvidó Ì_ en lect... Vi una bolsa pero no es muy agradable...
ham,"K, envíame un mensaje de texto cuando estés en camino"
ham,"Señor, esperando su correo."
ham,"Un pensamiento SWT: \Nunca te canses de hacer pequeñas cosas 4 personas adorables...\"" Porque... a veces esas pequeñas cosas ocupan la mayor parte de sus corazones... Gud ni8"""
ham,Sé que eres. ¿Puedes abrir la parte trasera?
ham,"Sí, no nos vemos en el punto."
ham,¿Cómo se llama el personal que está tomando clases para nosotros?
spam,"¿Por qué no has respondido a mi mensaje de texto? Soy Randy, Tu asesora en inversiones, enviame un mensaje y recibe $1,000 en bitcoins, llama al 08700621170150"
ham,"Ummma. Llamará después del check-in. Nuestra vida comenzará en Qatar, así que por favor oren mucho."
ham,K..borré mi contacto ¿por qué?
ham,Sindu consiguió trabajo en Birla Soft.
ham,El vino fluye y yo nunca lo he tenido.
ham,"Sí, creo que el cine es mejor porque no es necesario bajar 2 plazas mah."
ham,Ok... Tu respuesta típica...
ham,"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos"
ham,"Estás suciedad en todas partes, en el suelo, en las ventanas, incluso en mi camisa. Y a veces, cuando abro la boca, eres todo lo que sale. Sueño con mi mundo sin ti, entonces la mitad de mis tareas también se acaban. Un momento de alegría para mí, veré muchos programas de televisión. Pero supongo que, como todas las cosas, simplemente debes existir, como la lluvia, el granizo y la niebla, y cuando termine mi tiempo aquí, tú y yo nos volveremos uno."
ham,Aaaaaaaa ¿estás en el trabajo?
ham,Me voy de mi casa ahora...
ham,Hola mi amor. ¿Qué estás haciendo? ¿Llegaste a esa entrevista hoy? ¿Estás feliz? ¿Estás siendo un buen chico? ¿Piensas en mí? ¿Me extrañas?
spam,Anuncio de atención al cliente. Tienes una entrega de Año Nuevo esperándote. Llame ahora al 07046744435 para concertar la entrega.
spam,Eres un ganador. Has sido seleccionado especialmente. 2. Recibe $1000 en efectivo o unas vacaciones todo pagado al destino que tu elijas
ham,Mantente a salvo por mí porque te necesito y ya te extraño y envidio a todos los que te ven en la vida real.
ham,Coche y casa nuevos para mis padres.:)Solo tengo un nuevo trabajo entre manos:)
ham,Estoy tan enamorado de ti. Estoy emocionado cada día que paso contigo. Me haces tan feliz.
spam,"Chico lindo espera un mensaje de tu parte, no te quedes sin la oportunidad de conocer a tu alma gemela, recibe de bonificación 100 bitcoins para inversión inicial"
spam,"Mercado libre Tu pedido está en camino. DEBE recibir un mensaje de servicio contesta ""DE ACUERDO"", para recibir tu pedido con envío gratis"
ham,Ya coloco todos sus puntos en el módulo de culturas electrónicas.
spam,¡URGENTE! Estamos intentando contactar con usted. El sorteo del pasado fin de semana demuestra que has ganado un premio de $900 GARANTIZADO. Llame al 09061701939. Código de reclamo S89. Válido solo 12 horas
ham,"Hola amigo, ¿cuál es la mejor manera de evitar malentendidos con nuestro ser querido?"
ham,Gran escape. Me gusta el puente pero necesito su cerveza. Nos vemos tomo
ham,Sí :)está completamente fuera de forma:)clark también es un desperdicio total.
ham,"Señor, necesito el número de cuenta de BBVA y la dirección del banco."
ham,"Hmmm.. Seguro que tengo tiempo para saltar... Ya, puedo ir 4 gratis aproximadamente... Muz te llama para hablar sobre liao..."
ham,¿A qué hora bajas más tarde?
ham,"Maldita sea, no puedo creer que hayas olvidado mi apellido Sr. Te daré una pista, es español y comienza con m..."
ham,"Bueno, voy a terminar mi baño ahora. Que tengas una buena...buena noche."
ham,Avísame cuando tengas el dinero para que Carlos pueda hacer la llamada.
ham,¿Sigues yendo al centro comercial?
ham,"Resulta que mis amigos se quedarán durante todo el espectáculo y no volverán hasta ~ <#> , así que siéntete libre de seguir adelante y fumarte ese $ <#> valer"
ham,"Envíale un mensaje de texto. Si no responde, avíseme para que pueda iniciar sesión."
ham,¡Hola! Acabas de hablar con MANEESHA V. Nos gustaría saber si estuviste satisfecho con la experiencia. Responda al número gratuito con Sí o No.
ham,"Aumentaste mis esperanzas con la oferta de dinero. Estoy necesitado. Sobre todo cuando se acerca fin de mes y me perjudica estudiar. De todos modos, que tengas un gran fin de semana."
ham,Jajaja no. Puedes confiar en mí.
ham,OK. Soy un caballero y te trataré con dignidad y respeto.
ham,"Él lo hará, ¿ustedes cierran?"
ham,No está pasando nada genial. Adiós
ham,Hola guapo ! ¿Estás encontrando ese trabajo? ¿No ser vago? ¿Trabajando para recuperar esa red para mamá? ¿Dónde está mi juguete ahora? ¿Me extraña?
ham,"Jaja genial, llegaré en un minuto."
spam,"Llame a nuestro representante de servicio al cliente al TELÉFONO GRATUITO 0808 145 4742 entre las 9 a. m. y las 11 p. m., ya que HA GANADO un premio garantizado de $ 1000 en efectivo o $ 5000."
ham,¿Tienes horarios de radio navideños? Si no lo conseguiré ahora
ham,Acabo de llegar a casa. Yo voy a bañarme primero. Pero mi hermana usando net te dice cuando termine k...
